layer_idx,module_type,layer_name,max_val,min_val,mean_val,kurtosis
0,Attention,self_attn.q_proj,0.203125,-0.203125,0.021547394,0.0794909
0,Attention,self_attn.k_proj,0.203125,-0.203125,0.021547394,0.0794909
0,Attention,self_attn.v_proj,0.203125,-0.203125,0.021547394,0.0794909
0,Attention,self_attn.o_proj,0.40429688,-0.40234375,0.0036683262,202.54105
0,MLP,mlp.gate_proj,0.59765625,-0.41796875,0.018453151,21.40776
0,MLP,mlp.up_proj,0.59765625,-0.41796875,0.018453151,21.40776
0,MLP,mlp.down_proj,0.10839844,-0.03466797,0.00021427078,1746.9312
1,Attention,self_attn.q_proj,1.21875,-1.1640625,0.033995323,16.017002
1,Attention,self_attn.k_proj,1.21875,-1.1640625,0.033995323,16.017002
1,Attention,self_attn.v_proj,1.21875,-1.1640625,0.033995323,16.017002
1,Attention,self_attn.o_proj,0.5234375,-0.40039062,0.00587263,39.74873
1,MLP,mlp.gate_proj,1.28125,-1.203125,0.037934948,14.4814625
1,MLP,mlp.up_proj,1.28125,-1.203125,0.037934948,14.4814625
1,MLP,mlp.down_proj,0.55859375,-0.14550781,0.0005801071,15076.77
2,Attention,self_attn.q_proj,1.4375,-1.578125,0.052889425,9.468325
2,Attention,self_attn.k_proj,1.4375,-1.578125,0.052889425,9.468325
2,Attention,self_attn.v_proj,1.4375,-1.578125,0.052889425,9.468325
2,Attention,self_attn.o_proj,0.60546875,-1.3984375,0.007502468,467.17776
2,MLP,mlp.gate_proj,1.484375,-1.7578125,0.059077244,8.167628
2,MLP,mlp.up_proj,1.484375,-1.7578125,0.059077244,8.167628
2,MLP,mlp.down_proj,0.29296875,-2.09375,0.0011651464,132003.9
3,Attention,self_attn.q_proj,3.140625,-2.359375,0.07569202,7.001568
3,Attention,self_attn.k_proj,3.140625,-2.359375,0.07569202,7.001568
3,Attention,self_attn.v_proj,3.140625,-2.359375,0.07569202,7.001568
3,Attention,self_attn.o_proj,0.953125,-2.078125,0.009671015,1009.3954
3,MLP,mlp.gate_proj,3.34375,-2.59375,0.081890196,6.7815504
3,MLP,mlp.up_proj,3.34375,-2.59375,0.081890196,6.7815504
3,MLP,mlp.down_proj,0.6953125,-0.4765625,0.0021833675,970.19073
4,Attention,self_attn.q_proj,3.5625,-2.796875,0.103296615,5.7690268
4,Attention,self_attn.k_proj,3.5625,-2.796875,0.103296615,5.7690268
4,Attention,self_attn.v_proj,3.5625,-2.796875,0.103296615,5.7690268
4,Attention,self_attn.o_proj,1.15625,-0.890625,0.0135485735,105.81472
4,MLP,mlp.gate_proj,3.828125,-2.96875,0.11361494,5.3094034
4,MLP,mlp.up_proj,3.828125,-2.96875,0.11361494,5.3094034
4,MLP,mlp.down_proj,0.55859375,-1.328125,0.0037543112,700.20593
5,Attention,self_attn.q_proj,4.125,-3.03125,0.12986681,4.263628
5,Attention,self_attn.k_proj,4.125,-3.03125,0.12986681,4.263628
5,Attention,self_attn.v_proj,4.125,-3.03125,0.12986681,4.263628
5,Attention,self_attn.o_proj,1.3828125,-1.578125,0.02512221,31.194351
5,MLP,mlp.gate_proj,4.15625,-2.984375,0.14007933,4.729444
5,MLP,mlp.up_proj,4.15625,-2.984375,0.14007933,4.729444
5,MLP,mlp.down_proj,0.9140625,-1.8125,0.0074513787,300.7277
6,Attention,self_attn.q_proj,4.875,-3.21875,0.16275857,4.8477635
6,Attention,self_attn.k_proj,4.875,-3.21875,0.16275857,4.8477635
6,Attention,self_attn.v_proj,4.875,-3.21875,0.16275857,4.8477635
6,Attention,self_attn.o_proj,1.5703125,-1.7890625,0.04752928,11.635986
6,MLP,mlp.gate_proj,5.3125,-3.609375,0.18295303,5.640052
6,MLP,mlp.up_proj,5.3125,-3.609375,0.18295303,5.640052
6,MLP,mlp.down_proj,2.546875,-1.9609375,0.012133751,234.90851
7,Attention,self_attn.q_proj,5.875,-3.984375,0.19905293,5.3820868
7,Attention,self_attn.k_proj,5.875,-3.984375,0.19905293,5.3820868
7,Attention,self_attn.v_proj,5.875,-3.984375,0.19905293,5.3820868
7,Attention,self_attn.o_proj,1.8828125,-1.40625,0.050337054,11.752463
7,MLP,mlp.gate_proj,6.0625,-4.25,0.21932402,5.2875433
7,MLP,mlp.up_proj,6.0625,-4.25,0.21932402,5.2875433
7,MLP,mlp.down_proj,2.890625,-2.71875,0.01849075,140.42584
8,Attention,self_attn.q_proj,8.25,-4.5625,0.2255527,6.9018574
8,Attention,self_attn.k_proj,8.25,-4.5625,0.2255527,6.9018574
8,Attention,self_attn.v_proj,8.25,-4.5625,0.2255527,6.9018574
8,Attention,self_attn.o_proj,1.8671875,-1.8203125,0.064022206,8.649899
8,MLP,mlp.gate_proj,9.625,-4.84375,0.2376338,8.710751
8,MLP,mlp.up_proj,9.625,-4.84375,0.2376338,8.710751
8,MLP,mlp.down_proj,2.03125,-10.375,0.018963825,5269.133
9,Attention,self_attn.q_proj,17.75,-5.1875,0.24419385,24.868774
9,Attention,self_attn.k_proj,17.75,-5.1875,0.24419385,24.868774
9,Attention,self_attn.v_proj,17.75,-5.1875,0.24419385,24.868774
9,Attention,self_attn.o_proj,1.953125,-2.0,0.06604137,9.900507
9,MLP,mlp.gate_proj,26.125,-5.34375,0.26204258,73.4382
9,MLP,mlp.up_proj,26.125,-5.34375,0.26204258,73.4382
9,MLP,mlp.down_proj,17.375,-2.265625,0.023107152,15781.47
10,Attention,self_attn.q_proj,41.5,-5.53125,0.26324844,396.56427
10,Attention,self_attn.k_proj,41.5,-5.53125,0.26324844,396.56427
10,Attention,self_attn.v_proj,41.5,-5.53125,0.26324844,396.56427
10,Attention,self_attn.o_proj,2.359375,-1.8984375,0.06717533,9.663314
10,MLP,mlp.gate_proj,46.25,-5.625,0.27949962,484.75876
10,MLP,mlp.up_proj,46.25,-5.625,0.27949962,484.75876
10,MLP,mlp.down_proj,3.765625,-41.0,0.025668876,181040.75
11,Attention,self_attn.q_proj,60.25,-6.0625,0.27516925,1250.0687
11,Attention,self_attn.k_proj,60.25,-6.0625,0.27516925,1250.0687
11,Attention,self_attn.v_proj,60.25,-6.0625,0.27516925,1250.0687
11,Attention,self_attn.o_proj,1.859375,-2.671875,0.097097225,8.092239
11,MLP,mlp.gate_proj,60.75,-6.125,0.29160962,1062.4482
11,MLP,mlp.up_proj,60.75,-6.125,0.29160962,1062.4482
11,MLP,mlp.down_proj,10.8125,-14.8125,0.025105571,9441.511
12,Attention,self_attn.q_proj,63.5,-6.5,0.28825557,1256.3425
12,Attention,self_attn.k_proj,63.5,-6.5,0.28825557,1256.3425
12,Attention,self_attn.v_proj,63.5,-6.5,0.28825557,1256.3425
12,Attention,self_attn.o_proj,3.859375,-4.71875,0.07641708,17.639568
12,MLP,mlp.gate_proj,63.75,-6.5625,0.3069118,1027.9734
12,MLP,mlp.up_proj,63.75,-6.5625,0.3069118,1027.9734
12,MLP,mlp.down_proj,6.375,-15.125,0.028489294,7862.1055
13,Attention,self_attn.q_proj,68.5,-7.25,0.30575478,1257.1473
13,Attention,self_attn.k_proj,68.5,-7.25,0.30575478,1257.1473
13,Attention,self_attn.v_proj,68.5,-7.25,0.30575478,1257.1473
13,Attention,self_attn.o_proj,21.375,-14.8125,0.15388066,186.4112
13,MLP,mlp.gate_proj,68.0,-7.15625,0.31699738,1087.135
13,MLP,mlp.up_proj,68.0,-7.15625,0.31699738,1087.135
13,MLP,mlp.down_proj,19.375,-17.0,0.030565461,12632.846
14,Attention,self_attn.q_proj,70.0,-7.75,0.31262413,1221.8949
14,Attention,self_attn.k_proj,70.0,-7.75,0.31262413,1221.8949
14,Attention,self_attn.v_proj,70.0,-7.75,0.31262413,1221.8949
14,Attention,self_attn.o_proj,4.46875,-7.40625,0.11675451,14.89249
14,MLP,mlp.gate_proj,70.0,-7.8125,0.33368996,993.1406
14,MLP,mlp.up_proj,70.0,-7.8125,0.33368996,993.1406
14,MLP,mlp.down_proj,6.15625,-5.34375,0.03175268,225.22726
15,Attention,self_attn.q_proj,70.5,-8.0625,0.3256931,1090.2279
15,Attention,self_attn.k_proj,70.5,-8.0625,0.3256931,1090.2279
15,Attention,self_attn.v_proj,70.5,-8.0625,0.3256931,1090.2279
15,Attention,self_attn.o_proj,8.4375,-5.34375,0.09115695,52.45007
15,MLP,mlp.gate_proj,70.5,-8.125,0.34439063,910.0511
15,MLP,mlp.up_proj,70.5,-8.125,0.34439063,910.0511
15,MLP,mlp.down_proj,8.6875,-7.03125,0.033278186,700.93945
16,Attention,self_attn.q_proj,71.0,-8.125,0.3420099,927.9576
16,Attention,self_attn.k_proj,71.0,-8.125,0.3420099,927.9576
16,Attention,self_attn.v_proj,71.0,-8.125,0.3420099,927.9576
16,Attention,self_attn.o_proj,6.96875,-4.53125,0.07544922,28.149115
16,MLP,mlp.gate_proj,71.0,-8.1875,0.3622928,769.8922
16,MLP,mlp.up_proj,71.0,-8.1875,0.3622928,769.8922
16,MLP,mlp.down_proj,13.4375,-36.0,0.03571955,37640.016
17,Attention,self_attn.q_proj,71.0,-8.5,0.3619309,761.9965
17,Attention,self_attn.k_proj,71.0,-8.5,0.3619309,761.9965
17,Attention,self_attn.v_proj,71.0,-8.5,0.3619309,761.9965
17,Attention,self_attn.o_proj,26.25,-2.015625,0.07230612,3220.9866
17,MLP,mlp.gate_proj,71.0,-8.5,0.36837402,716.0037
17,MLP,mlp.up_proj,71.0,-8.5,0.36837402,716.0037
17,MLP,mlp.down_proj,43.75,-3.640625,0.035533037,57100.133
18,Attention,self_attn.q_proj,71.0,-8.3125,0.36988956,697.5692
18,Attention,self_attn.k_proj,71.0,-8.3125,0.36988956,697.5692
18,Attention,self_attn.v_proj,71.0,-8.3125,0.36988956,697.5692
18,Attention,self_attn.o_proj,4.6875,-3.90625,0.095294215,15.004545
18,MLP,mlp.gate_proj,71.0,-8.3125,0.3936659,565.3377
18,MLP,mlp.up_proj,71.0,-8.3125,0.3936659,565.3377
18,MLP,mlp.down_proj,22.125,-6.59375,0.042255625,5997.967
19,Attention,self_attn.q_proj,71.0,-8.1875,0.398869,533.7831
19,Attention,self_attn.k_proj,71.0,-8.1875,0.398869,533.7831
19,Attention,self_attn.v_proj,71.0,-8.1875,0.398869,533.7831
19,Attention,self_attn.o_proj,6.125,-12.3125,0.11666883,90.722206
19,MLP,mlp.gate_proj,71.0,-8.125,0.42113417,439.1049
19,MLP,mlp.up_proj,71.0,-8.125,0.42113417,439.1049
19,MLP,mlp.down_proj,6.1875,-26.875,0.04885146,6020.0566
20,Attention,self_attn.q_proj,70.5,-8.125,0.428854,397.5589
20,Attention,self_attn.k_proj,70.5,-8.125,0.428854,397.5589
20,Attention,self_attn.v_proj,70.5,-8.125,0.428854,397.5589
20,Attention,self_attn.o_proj,4.625,-10.25,0.11454064,40.75895
20,MLP,mlp.gate_proj,70.5,-8.625,0.44335228,346.9008
20,MLP,mlp.up_proj,70.5,-8.625,0.44335228,346.9008
20,MLP,mlp.down_proj,5.28125,-9.625,0.054053307,153.57376
21,Attention,self_attn.q_proj,67.5,-8.625,0.45439655,267.29614
21,Attention,self_attn.k_proj,67.5,-8.625,0.45439655,267.29614
21,Attention,self_attn.v_proj,67.5,-8.625,0.45439655,267.29614
21,Attention,self_attn.o_proj,7.53125,-5.375,0.1036372,67.15574
21,MLP,mlp.gate_proj,67.0,-9.0625,0.46873832,233.5004
21,MLP,mlp.up_proj,67.0,-9.0625,0.46873832,233.5004
21,MLP,mlp.down_proj,7.8125,-7.375,0.062148,112.697105
22,Attention,self_attn.q_proj,61.75,-9.0,0.48071507,156.4993
22,Attention,self_attn.k_proj,61.75,-9.0,0.48071507,156.4993
22,Attention,self_attn.v_proj,61.75,-9.0,0.48071507,156.4993
22,Attention,self_attn.o_proj,5.0,-4.125,0.12521613,12.774318
22,MLP,mlp.gate_proj,61.25,-9.25,0.49889743,133.73836
22,MLP,mlp.up_proj,61.25,-9.25,0.49889743,133.73836
22,MLP,mlp.down_proj,17.25,-9.8125,0.07229685,436.895
23,Attention,self_attn.q_proj,53.75,-9.3125,0.50711954,75.17485
23,Attention,self_attn.k_proj,53.75,-9.3125,0.50711954,75.17485
23,Attention,self_attn.v_proj,53.75,-9.3125,0.50711954,75.17485
23,Attention,self_attn.o_proj,4.21875,-7.75,0.17066297,8.081984
23,MLP,mlp.gate_proj,53.25,-9.75,0.5274563,62.935493
23,MLP,mlp.up_proj,53.25,-9.75,0.5274563,62.935493
23,MLP,mlp.down_proj,15.375,-15.4375,0.08767311,224.75095
24,Attention,self_attn.q_proj,48.75,-9.5625,0.55235004,35.646656
24,Attention,self_attn.k_proj,48.75,-9.5625,0.55235004,35.646656
24,Attention,self_attn.v_proj,48.75,-9.5625,0.55235004,35.646656
24,Attention,self_attn.o_proj,6.375,-9.0,0.08490348,69.004135
24,MLP,mlp.gate_proj,48.5,-9.8125,0.5820278,29.355907
24,MLP,mlp.up_proj,48.5,-9.8125,0.5820278,29.355907
24,MLP,mlp.down_proj,28.625,-25.125,0.09901072,612.0598
25,Attention,self_attn.q_proj,46.25,-9.5,0.6207745,19.964308
25,Attention,self_attn.k_proj,46.25,-9.5,0.6207745,19.964308
25,Attention,self_attn.v_proj,46.25,-9.5,0.6207745,19.964308
25,Attention,self_attn.o_proj,4.71875,-5.6875,0.08479318,28.82265
25,MLP,mlp.gate_proj,46.0,-9.6875,0.6399873,17.687128
25,MLP,mlp.up_proj,46.0,-9.6875,0.6399873,17.687128
25,MLP,mlp.down_proj,27.5,-21.25,0.11049408,458.197
26,Attention,self_attn.q_proj,44.25,-10.0625,0.6903359,11.938391
26,Attention,self_attn.k_proj,44.25,-10.0625,0.6903359,11.938391
26,Attention,self_attn.v_proj,44.25,-10.0625,0.6903359,11.938391
26,Attention,self_attn.o_proj,3.71875,-3.4375,0.0759607,18.969357
26,MLP,mlp.gate_proj,44.25,-10.25,0.7036674,11.183834
26,MLP,mlp.up_proj,44.25,-10.25,0.7036674,11.183834
26,MLP,mlp.down_proj,29.375,-40.75,0.1324887,596.84015
27,Attention,self_attn.q_proj,42.5,-10.1875,0.7532329,7.7760906
27,Attention,self_attn.k_proj,42.5,-10.1875,0.7532329,7.7760906
27,Attention,self_attn.v_proj,42.5,-10.1875,0.7532329,7.7760906
27,Attention,self_attn.o_proj,3.0625,-3.09375,0.077522285,21.175035
27,MLP,mlp.gate_proj,42.5,-10.0625,0.776439,6.85425
27,MLP,mlp.up_proj,42.5,-10.0625,0.776439,6.85425
27,MLP,mlp.down_proj,46.25,-69.5,0.16295238,1338.9
28,Attention,self_attn.q_proj,41.75,-10.125,0.8117072,5.4593306
28,Attention,self_attn.k_proj,41.75,-10.125,0.8117072,5.4593306
28,Attention,self_attn.v_proj,41.75,-10.125,0.8117072,5.4593306
28,Attention,self_attn.o_proj,3.296875,-3.421875,0.106358826,16.001165
28,MLP,mlp.gate_proj,41.75,-9.875,0.8390713,4.891615
28,MLP,mlp.up_proj,41.75,-9.875,0.8390713,4.891615
28,MLP,mlp.down_proj,131.0,-153.0,0.2888646,1940.8588
29,Attention,self_attn.q_proj,39.75,-9.125,0.8641911,4.433978
29,Attention,self_attn.k_proj,39.75,-9.125,0.8641911,4.433978
29,Attention,self_attn.v_proj,39.75,-9.125,0.8641911,4.433978
29,Attention,self_attn.o_proj,3.171875,-3.125,0.09356166,18.957788
29,MLP,mlp.gate_proj,39.25,-14.25,0.8717724,5.25183
29,MLP,mlp.up_proj,39.25,-14.25,0.8717724,5.25183
29,MLP,mlp.down_proj,30.625,-20.75,0.2617925,66.906715
0,Attention,self_attn.q_proj,0.203125,-0.203125,0.021724056,0.10776496
0,Attention,self_attn.k_proj,0.203125,-0.203125,0.021724056,0.10776496
0,Attention,self_attn.v_proj,0.203125,-0.203125,0.021724056,0.10776496
0,Attention,self_attn.o_proj,0.40234375,-0.40234375,0.0037014096,207.89069
0,MLP,mlp.gate_proj,0.62109375,-0.41796875,0.018351007,23.701378
0,MLP,mlp.up_proj,0.62109375,-0.41796875,0.018351007,23.701378
0,MLP,mlp.down_proj,0.10839844,-0.03466797,0.00021595026,1712.8414
1,Attention,self_attn.q_proj,1.1953125,-0.9921875,0.03399544,16.099037
1,Attention,self_attn.k_proj,1.1953125,-0.9921875,0.03399544,16.099037
1,Attention,self_attn.v_proj,1.1953125,-0.9921875,0.03399544,16.099037
1,Attention,self_attn.o_proj,0.46289062,-0.40039062,0.0059735137,38.181572
1,MLP,mlp.gate_proj,1.2734375,-1.0390625,0.03806408,14.149326
1,MLP,mlp.up_proj,1.2734375,-1.0390625,0.03806408,14.149326
1,MLP,mlp.down_proj,0.55859375,-0.14550781,0.00059745193,13254.886
2,Attention,self_attn.q_proj,1.5234375,-1.578125,0.053620875,9.025624
2,Attention,self_attn.k_proj,1.5234375,-1.578125,0.053620875,9.025624
2,Attention,self_attn.v_proj,1.5234375,-1.578125,0.053620875,9.025624
2,Attention,self_attn.o_proj,0.5078125,-1.3984375,0.0074858493,486.0605
2,MLP,mlp.gate_proj,1.546875,-1.7578125,0.059669893,7.755741
2,MLP,mlp.up_proj,1.546875,-1.7578125,0.059669893,7.755741
2,MLP,mlp.down_proj,0.29492188,-2.09375,0.0011781673,133429.03
3,Attention,self_attn.q_proj,3.140625,-2.359375,0.07613959,6.684354
3,Attention,self_attn.k_proj,3.140625,-2.359375,0.07613959,6.684354
3,Attention,self_attn.v_proj,3.140625,-2.359375,0.07613959,6.684354
3,Attention,self_attn.o_proj,0.953125,-2.078125,0.009635743,1020.0481
3,MLP,mlp.gate_proj,3.34375,-2.59375,0.08233694,6.4123087
3,MLP,mlp.up_proj,3.34375,-2.59375,0.08233694,6.4123087
3,MLP,mlp.down_proj,0.6953125,-0.4921875,0.0021876025,1159.3433
4,Attention,self_attn.q_proj,3.5625,-2.796875,0.104562305,5.3625317
4,Attention,self_attn.k_proj,3.5625,-2.796875,0.104562305,5.3625317
4,Attention,self_attn.v_proj,3.5625,-2.796875,0.104562305,5.3625317
4,Attention,self_attn.o_proj,1.15625,-0.890625,0.013517663,109.54749
4,MLP,mlp.gate_proj,3.828125,-2.96875,0.11470302,4.852871
4,MLP,mlp.up_proj,3.828125,-2.96875,0.11470302,4.852871
4,MLP,mlp.down_proj,0.640625,-1.328125,0.0038226072,658.302
5,Attention,self_attn.q_proj,4.125,-3.03125,0.13229607,3.7628126
5,Attention,self_attn.k_proj,4.125,-3.03125,0.13229607,3.7628126
5,Attention,self_attn.v_proj,4.125,-3.03125,0.13229607,3.7628126
5,Attention,self_attn.o_proj,1.3828125,-1.578125,0.025656205,29.18589
5,MLP,mlp.gate_proj,4.15625,-2.984375,0.14235748,4.1836543
5,MLP,mlp.up_proj,4.15625,-2.984375,0.14235748,4.1836543
5,MLP,mlp.down_proj,1.2578125,-1.8125,0.0076175793,272.44626
6,Attention,self_attn.q_proj,4.875,-3.328125,0.16575478,4.2939634
6,Attention,self_attn.k_proj,4.875,-3.328125,0.16575478,4.2939634
6,Attention,self_attn.v_proj,4.875,-3.328125,0.16575478,4.2939634
6,Attention,self_attn.o_proj,1.21875,-1.5234375,0.047093976,11.4703045
6,MLP,mlp.gate_proj,5.3125,-3.78125,0.18514432,4.885306
6,MLP,mlp.up_proj,5.3125,-3.78125,0.18514432,4.885306
6,MLP,mlp.down_proj,2.609375,-1.703125,0.012161524,229.75478
7,Attention,self_attn.q_proj,5.875,-4.125,0.20155577,4.690159
7,Attention,self_attn.k_proj,5.875,-4.125,0.20155577,4.690159
7,Attention,self_attn.v_proj,5.875,-4.125,0.20155577,4.690159
7,Attention,self_attn.o_proj,1.5625,-1.65625,0.051378496,11.465471
7,MLP,mlp.gate_proj,6.0625,-4.375,0.22097096,4.661939
7,MLP,mlp.up_proj,6.0625,-4.375,0.22097096,4.661939
7,MLP,mlp.down_proj,3.734375,-3.03125,0.018553179,180.39629
8,Attention,self_attn.q_proj,8.1875,-4.625,0.22753465,6.2012997
8,Attention,self_attn.k_proj,8.1875,-4.625,0.22753465,6.2012997
8,Attention,self_attn.v_proj,8.1875,-4.625,0.22753465,6.2012997
8,Attention,self_attn.o_proj,1.84375,-1.9453125,0.063909,10.190951
8,MLP,mlp.gate_proj,9.4375,-4.875,0.24049838,7.6906137
8,MLP,mlp.up_proj,9.4375,-4.875,0.24049838,7.6906137
8,MLP,mlp.down_proj,1.6328125,-12.375,0.01906397,5659.789
9,Attention,self_attn.q_proj,17.625,-5.09375,0.24797823,23.961899
9,Attention,self_attn.k_proj,17.625,-5.09375,0.24797823,23.961899
9,Attention,self_attn.v_proj,17.625,-5.09375,0.24797823,23.961899
9,Attention,self_attn.o_proj,2.09375,-1.890625,0.06638503,10.027975
9,MLP,mlp.gate_proj,26.125,-5.21875,0.26629555,73.49293
9,MLP,mlp.up_proj,26.125,-5.21875,0.26629555,73.49293
9,MLP,mlp.down_proj,17.0,-2.453125,0.023437822,11901.36
10,Attention,self_attn.q_proj,41.5,-5.21875,0.2650868,402.92014
10,Attention,self_attn.k_proj,41.5,-5.21875,0.2650868,402.92014
10,Attention,self_attn.v_proj,41.5,-5.21875,0.2650868,402.92014
10,Attention,self_attn.o_proj,2.21875,-1.7421875,0.0661501,10.308078
10,MLP,mlp.gate_proj,46.0,-5.25,0.2809914,493.47357
10,MLP,mlp.up_proj,46.0,-5.25,0.2809914,493.47357
10,MLP,mlp.down_proj,2.859375,-40.5,0.02557792,142726.0
11,Attention,self_attn.q_proj,59.5,-5.96875,0.27685076,1215.6061
11,Attention,self_attn.k_proj,59.5,-5.96875,0.27685076,1215.6061
11,Attention,self_attn.v_proj,59.5,-5.96875,0.27685076,1215.6061
11,Attention,self_attn.o_proj,2.015625,-2.21875,0.094424956,8.982718
11,MLP,mlp.gate_proj,60.25,-6.03125,0.29307842,1035.9868
11,MLP,mlp.up_proj,60.25,-6.03125,0.29307842,1035.9868
11,MLP,mlp.down_proj,10.1875,-15.0625,0.025080344,8181.3667
12,Attention,self_attn.q_proj,63.0,-6.4375,0.288651,1239.55
12,Attention,self_attn.k_proj,63.0,-6.4375,0.288651,1239.55
12,Attention,self_attn.v_proj,63.0,-6.4375,0.288651,1239.55
12,Attention,self_attn.o_proj,3.859375,-4.46875,0.07432117,17.966827
12,MLP,mlp.gate_proj,63.25,-6.53125,0.3087485,998.6905
12,MLP,mlp.up_proj,63.25,-6.53125,0.3087485,998.6905
12,MLP,mlp.down_proj,6.3125,-14.0,0.028625371,6256.5405
13,Attention,self_attn.q_proj,67.5,-7.1875,0.30729505,1216.1091
13,Attention,self_attn.k_proj,67.5,-7.1875,0.30729505,1216.1091
13,Attention,self_attn.v_proj,67.5,-7.1875,0.30729505,1216.1091
13,Attention,self_attn.o_proj,21.25,-14.75,0.15237567,188.84387
13,MLP,mlp.gate_proj,67.0,-7.09375,0.3182371,1054.9989
13,MLP,mlp.up_proj,67.0,-7.09375,0.3182371,1054.9989
13,MLP,mlp.down_proj,19.375,-16.375,0.0305795,11052.453
14,Attention,self_attn.q_proj,69.0,-7.6875,0.31287223,1198.5543
14,Attention,self_attn.k_proj,69.0,-7.6875,0.31287223,1198.5543
14,Attention,self_attn.v_proj,69.0,-7.6875,0.31287223,1198.5543
14,Attention,self_attn.o_proj,4.5,-7.40625,0.11499122,14.959055
14,MLP,mlp.gate_proj,69.0,-7.75,0.33416978,971.67303
14,MLP,mlp.up_proj,69.0,-7.75,0.33416978,971.67303
14,MLP,mlp.down_proj,6.0625,-5.59375,0.031558644,210.77986
15,Attention,self_attn.q_proj,69.5,-8.0,0.32674354,1062.4417
15,Attention,self_attn.k_proj,69.5,-8.0,0.32674354,1062.4417
15,Attention,self_attn.v_proj,69.5,-8.0,0.32674354,1062.4417
15,Attention,self_attn.o_proj,8.6875,-5.53125,0.08783978,53.68932
15,MLP,mlp.gate_proj,69.5,-8.0625,0.34468594,890.0773
15,MLP,mlp.up_proj,69.5,-8.0625,0.34468594,890.0773
15,MLP,mlp.down_proj,8.75,-6.90625,0.033070125,710.6314
16,Attention,self_attn.q_proj,70.0,-8.125,0.34138018,915.7966
16,Attention,self_attn.k_proj,70.0,-8.125,0.34138018,915.7966
16,Attention,self_attn.v_proj,70.0,-8.125,0.34138018,915.7966
16,Attention,self_attn.o_proj,5.96875,-4.75,0.07464229,28.993202
16,MLP,mlp.gate_proj,70.0,-8.1875,0.36096552,765.53625
16,MLP,mlp.up_proj,70.0,-8.1875,0.36096552,765.53625
16,MLP,mlp.down_proj,13.625,-35.0,0.034996703,36284.57
17,Attention,self_attn.q_proj,70.0,-8.5,0.3599602,760.98224
17,Attention,self_attn.k_proj,70.0,-8.5,0.3599602,760.98224
17,Attention,self_attn.v_proj,70.0,-8.5,0.3599602,760.98224
17,Attention,self_attn.o_proj,25.625,-2.03125,0.07076389,3428.141
17,MLP,mlp.gate_proj,70.0,-8.5,0.36608323,717.90875
17,MLP,mlp.up_proj,70.0,-8.5,0.36608323,717.90875
17,MLP,mlp.down_proj,42.5,-3.15625,0.034648173,54417.004
18,Attention,self_attn.q_proj,70.0,-8.3125,0.36747012,700.3013
18,Attention,self_attn.k_proj,70.0,-8.3125,0.36747012,700.3013
18,Attention,self_attn.v_proj,70.0,-8.3125,0.36747012,700.3013
18,Attention,self_attn.o_proj,4.53125,-3.8125,0.09309371,15.090683
18,MLP,mlp.gate_proj,70.0,-8.3125,0.39145434,565.111
18,MLP,mlp.up_proj,70.0,-8.3125,0.39145434,565.111
18,MLP,mlp.down_proj,22.0,-6.40625,0.0413621,5890.3706
19,Attention,self_attn.q_proj,70.0,-8.1875,0.395856,537.08264
19,Attention,self_attn.k_proj,70.0,-8.1875,0.395856,537.08264
19,Attention,self_attn.v_proj,70.0,-8.1875,0.395856,537.08264
19,Attention,self_attn.o_proj,5.875,-11.75,0.1132467,93.778984
19,MLP,mlp.gate_proj,70.0,-8.125,0.4183352,441.17957
19,MLP,mlp.up_proj,70.0,-8.125,0.4183352,441.17957
19,MLP,mlp.down_proj,6.1875,-27.125,0.04819802,6123.656
20,Attention,self_attn.q_proj,69.5,-8.0,0.4252377,401.93268
20,Attention,self_attn.k_proj,69.5,-8.0,0.4252377,401.93268
20,Attention,self_attn.v_proj,69.5,-8.0,0.4252377,401.93268
20,Attention,self_attn.o_proj,4.59375,-9.5625,0.114178576,36.707283
20,MLP,mlp.gate_proj,69.5,-8.0,0.4404237,349.1533
20,MLP,mlp.up_proj,69.5,-8.0,0.4404237,349.1533
20,MLP,mlp.down_proj,10.3125,-7.875,0.053214397,150.65796
21,Attention,self_attn.q_proj,67.0,-7.90625,0.45071357,268.2722
21,Attention,self_attn.k_proj,67.0,-7.90625,0.45071357,268.2722
21,Attention,self_attn.v_proj,67.0,-7.90625,0.45071357,268.2722
